"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","rl_bareground","rl_canopy","rl_grasstuft","rl_leaflitter","rl_rock","rl_dung","rl_nearestherb","rl_nearest_grass_perennial_spp","rl_dist_grass_perennial","rl_nearest_grass_annual_spp","rl_dist_grass_annual","rl_nearest_forb_spp","rl_dist_forb","rl_nearest_woody_spp","rl_dist_woody_plant","rl_grass_condition","rl_planned_graze_manag","rl_wet_season_graze","rl_dry_season_graze","rl_land_resting","rl_invasive_species_control","rl_restor_bunds","rl_restor_exclosure","rl_plot_in_conservation_area","rl_grass_reseeding","rl_cow_present","rl_goat_present","rl_wildlife_present","rl_other_restor_activities","rl_other_restor_activities_name"
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[10]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","25","Eragrostis cilianensis","2","N","200","Grewia tenax","67","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[11]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","0","Eragrostis cilianensis","11","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[12]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","23","Eragrostis cilianensis","7","Commelina benghalensis","58","Sida ovata","27","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[13]","yes","no","yes","no","no","no","pg","Eragrostis caespitosa","4","Eragrostis cilianensis","4","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[14]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","8","Tetrapogon spatheous","1","Cucumis prophetarum","45","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[15]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","8","Eragrostis cilianensis","9","N","200","Jatropha spp","22","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[16]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","23","Aristida adscencionis","10","Cucumis prophetarum","9","Sericocomopsis hilderbrandtii","61","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[17]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","8","Aristida adscencionis","32","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[18]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","31","Eragrostis cilianensis","5","Portulaca quadrafida","75","Grewia tenax","98","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[19]","yes","yes","yes","no","no","no","pg","Tetrapogon roxburghiana","9","Eragrostis cilianensis","24","N","200","Dyschoriste depressa","53","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[20]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","22","Eragrostis cilianensis","6","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[21]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","3","Tragus berteronianus","39","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[22]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","14","Aristida adscencionis","10","N","200","Euphorbia cuneata","36","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[23]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","13","Aristida adscencionis","7","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[24]","no","no","yes","yes","no","no","pg","Themeda triandra","7","Aristida adscencionis","18","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[25]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","8","Aristida adscencionis","42","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[26]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","13","Aristida adscencionis","22","N","200","Dyschoriste depressa","55","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[27]","no","no","yes","yes","no","no","pg","Sporobolus fimbriatus","0","Brachiaria leersoides","6","N","200","Grewia tenax","69","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[28]","yes","no","yes","no","no","no","pg","Sporobolus fimbriatus","21","Aristida adscencionis","26","N","200","Grewia tenax","16","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[29]","no","no","yes","yes","no","no","pg","Tetrapogon roxburghiana","60","Tetrapogon spatheous","2","Commelina benghalensis","11","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:48f610b3-714d-42f1-be00-e507842bf560","Lumo","15","3","38.2183","-3.51399","grassland","2023","yes","no","uuid:48f610b3-714d-42f1-be00-e507842bf560/rangel_form[30]","yes","no","yes","no","no","no","pg","Tetrapogon roxburghiana","19","Tetrapogon spatheous","12","Cucumis prophetarum","6","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989","Lumo","15","8","38.2188","-3.51263","grassland","2023","no","yes","uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989/rangel_form[1]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","23","Brachiaria deflexa","75","Commelina errecta","15","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989","Lumo","15","8","38.2188","-3.51263","grassland","2023","no","yes","uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989/rangel_form[2]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","40","Aristida adscencionis","23","Commelina velutina","39","Grewia tenax","26","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989","Lumo","15","8","38.2188","-3.51263","grassland","2023","no","yes","uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989/rangel_form[3]","yes","no","yes","no","no","no","pg","Cenchrus ciliaris","25","Aristida adscencionis","50","Commelina velutina","59","Grewia tenax","94","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989","Lumo","15","8","38.2188","-3.51263","grassland","2023","no","yes","uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989/rangel_form[4]","no","no","yes","yes","no","no","pg","Cenchrus ciliaris","13","Aristida adscencionis","4","Commelina velutina","32","Grewia bicolor","83","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
"uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989","Lumo","15","8","38.2188","-3.51263","grassland","2023","no","yes","uuid:dd3d5ed8-215c-4381-9a35-1adc16dd7989/rangel_form[5]","no","no","yes","yes","no","no","pg","Panicum maximum","14","N","200","N","200","N","200","visibly-over-grazed-grass","no","no","no","no","no","no","no","yes","no","no","no","yes","no",""
