"Country","Date","Time","YEAR","Site","Cluster","Plot","Latitude","Longitude","Altitude","Accuracy","Photo","SlopeDn","SlopeUp","MajLform","LformDes","PosTopoSeq","VegCovLT40","PlotFlood","PlotCultMgd","dom_landuse","Trees","Shrubs","Graminoids","Forbs","VegOther","Broadleaf","Needleleaf","Evergreen","Deciduous","WdCovRate1","WdCovRate2","WdCovRate3","WdCovRate4","HerbCovRate1","HerbCovRate2","HerbCovRate3","HerbCovRate4","HerbHeight","HerbAnnual","VegStrataDescr","SameLanduse90","LandOwnership","UseFoodBeverage","UseForage","UseTimberFuelwood","UseOther","LandUseHistory","RockCover1","RockCover2","RockCover3","RockCover4","Erosion1","Erosion2","Erosion3","Erosion4","SWCStructures","SWCDescr","AugDepth1","AugDepth2","AugDepth3","AugDepth4","ShSuPlDe1","ShSuPlDe2","ShSuPlDe3","ShSuPlDe4","TrSuPlDe1","TrSuPlDe2","TrSuPlDe3","TrSuPlDe4","TrHeight1_1","TrHeight2_1","TrHeight3_1","TrHeight4_1","TrDBH1_1","TrDBH2_1","TrDBH3_1","TrDBH4_1","VegStructure","VegStructureOtherDescr","ImpactTreeCutting","ImpactAgric","ImpactGrazing","ImpactFire","ImpactErosion","ImpactAlienVeg"
"Kenya","2024-03-06","09:49:00.000+03:00","2024","Chawia","10","10","-3.45339","38.3373","1596.5","4","1709707779671.jpg","20","20","sloping","medium_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","1","1","1","1","3","3","4","4","03to08","yes","Acalypha volkensii, Phaseolus vulgaris, Pennisetum purpureaum, Thunbergia gregorii,Bambusa vulgaris, Ocotea cimamum,Bidens pilosa, Maesa lanceolata, Musa paradisiaca,Carica papaya,Tagetes minuta,Brassica oleracea, Oxalis latifolia, Rumex acetosela, Cyperus rotundus, Digitaria velutina, Desmodium intortum, Fraxinus pennisylvatica,Persea americanum, Calliandra calothyrsus,Grevillea robusta, Passiflora edulis, Macadamia integrifolia, Citrus lemon, Pteris spp,Conyza bonarensis, Ageratum conyzoides,","yes","private","yes","yes","yes","no","Plot cultivated for over 80 years beans, maize,bananas,come cocoa yams","under5","under5","under5","under5","none","none","none","none","7","veg struc","50","50","50","50","0","0","0","0","3","2","0","0",,,,,,,,,"cropland",,"0","3","0","0","1","3"
"Kenya","2024-03-06","14:20:00.000+03:00","2024","Chawia","10","11","-3.45259","38.3347","1762.7","5","1709724031441.jpg","35","35","steep","high_gradient_escarpment","ridge_crest","no","no","yes","woodlot","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","3","3","3","2","3","3","03to08","no","Acacia mearnsii, Bidens ternatea,Ageratum conyzoides, Solanecio mannii,Cymbopogon vallidus,Pentas parvifolia, Pteris spp, Helichrysum odorensis,Acalypha volkensii, Vernonia brevicalyx","yes","government","no","no","no","no","Conservation area since 1950s","over40","over40","over40","over40","none","none","none","none","0","veg","32","20","50","36","2","0","0","0","7","0","0","0",,,,,,,,,"woodland",,"0","3","0","1","1","3"
"Kenya","2024-03-06","15:24:00.000+03:00","2024","Chawia","10","12","-3.45758","38.3319","1584","5","1709727959434.jpg","34","29","steep","high_gradient_escarpment","ridge_crest","no","no","yes","annual_crop","yes","yes","yes","yes","no","yes","no","yes","yes","1","1","1","1","5","5","5","5","03to30","yes","Eucalyptus saligna, Vernonia brevicalyx, Zea mays, Pteridium aquilinum , Panicum astrosanguinium, Richardia scabra, Bidens pilosa Asystacia laticapsula,Pennisetum purpureaum, Senecio syringifolia, Ageratum conyzoides, Conyza bonarensis, Hibiscus fuscus, Phyllanthus odontendenious,","yes","private","yes","yes","no","no","Plot cultivated for over 70 years maize, beans,sorghum, sweet potatoes","under5","under5","under5","under5","none","none","none","none","7","veg struc","50","50","50","50","0","0","0","0","0","0","0","0",,,,,,,,,"cropland",,"0","3","0","1","1","3"
"Kenya","2024-03-06","15:46:00.000+03:00","2024","Chawia","10","14","-3.45909","38.332","1570.19","5","1709729273904.jpg","30","30","steep","high_gradient_escarpment","ridge_crest","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","1","1","1","1","5","5","5","5","03to30","yes","Pennisetum purpureaum, Erlangea cordifolia, Neonotonia wightii, Acalypha volkensii, Panicum trichocladum, Grevillea robusta, Triumfetta rhomboidea,Lantana camara, Rubus pinata, Dodonaea viscosa","yes","private","yes","yes","yes","no","Plot cultivated for over 70 years beans, maize,sorghum, sweet potatoes, cassava","under5","under5","under5","under5","none","none","none","none","8","veg struc","50","50","50","50","0","0","0","0","0","0","0","0",,,,,,,,,"cropland",,"0","3","0","0","1","1"
"Kenya","2024-03-06","13:44:00.000+03:00","2024","Chawia","10","2","-3.45334","38.3336","1755","5","1709721909702.jpg","2","2","steep","high_gradient_escarpment","ridge_crest","no","no","yes","woodlot","yes","yes","yes","yes","no","yes","no","yes","yes","4","4","3","3","2","2","2","2","03to08","no","Eucalyptus saligna,Acacia mearnsii, Melinis minutiflora,Pteridium aquilinum , Ensete ventricosa,Conyza bonarensis, Cyperus spp,Helichrysum odorensis,Mariscus macropus, Pentas parvifolia,","yes","government","no","no","no","yes","Conservation area since early 1950s","5-40","5-40","5-40","5-40","none","none","none","none","0","veg","48","35","50","20","4","0","5","0","4","3","7","3",,,,,,,,,"woodland",,"2","3","0","3","1","3"
"Kenya","2024-03-06","11:54:00.000+03:00","2024","Chawia","10","3","-3.45813","38.3382","1518.6","5","1709715347462.jpg","36","32","steep","high_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","yes","yes","yes","2","1","1","1","5","5","5","5","03to08","yes","Linus radiata,Rubus pinata,,Acacia mearnsii, Acalypha volkensii, Maesa lanceolata, Pennisetum purpureaum, Conyza bonarensis Pteridium aquilinum , Triumfetta rhomboidea, Vernonia brevicalyx, Rumex acetosela Eriobotrya Japonica, Ageratum conyzoides, Desmodium intortum, Digitaria velutina, Panicum trichocladum,","yes","private","yes","yes","yes","no","Plot cultivated for over 80 years maize, beans,bananas,vegetables.","under5","under5","under5","under5","none","none","none","none","12","veg struc","50","50","50","50","2","0","0","0","5","0","1","0",,,,,,,,,"cropland",,"0","3","0","0","1","2"
"Kenya","2024-03-06","09:14:00.000+03:00","2024","Chawia","10","4","-3.45255","38.3388","1574.7","4","1709705737449.jpg","10","13","sloping","mededium_gradient_mountain","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","1","1","1","2","5","5","5","5","03to30","yes","Calliandra calothrysus,Vernonia brevicalyx,Zea mays,Ageratum conyzoides, Triumfetta rhomboidea, Tagetes minuta, Psidium guajava,Digitaria abyssinica, Digitaria velutina, Pennisetum purpureaum, Vernonia lasiopus, Hibiscus fuscus, Dodonaea viscosa, Macaranga conglomerata, Melinis repens, Pteridium aquilinum , Panicum trichocladum, Desmodium intortum, Rubus pinata ,Pentas Parvifolia,Senna mimosoides, Erlangea cordifolia,Caelusea abyssinica, Acalypha volkensii, Vernonia galamensis, Emilia sonchifolia,Phyllanthus odondentious,Filicium reficiens,Commelina benghalensis, Rumex acetosela, Richardia scabra,","yes","private","yes","yes","yes","no","Plot have been cultivated for over 80 years, maize, beans,Psidium guajava, vegetables.","under5","under5","under5","under5","none","none","none","none","6","struc","50","50","50","50","1","0","0","0","1","0","0","1",,,,,,,,,"cropland",,"0","3","0","0","0","2"
"Kenya","2024-03-06","10:19:00.000+03:00","2024","Chawia","10","6","-3.45388","38.3368","1611.5","4","1709709618808.jpg","31","25","steep","high_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","2","1","2","1","5","5","5","5","03to30","yes","Maesa lanceolata, Maranta indica,Persea americanum, Bidens pilosa, Setaria  plicatilis,Physalis peruviana, Cyphometra batacea,Saccharin officinalis, Drymeria cordatum,Grevillea robusta, Ageratum conyzoides, Tagetes minuta, Chenopodium alba,Cyathula polycephara,Phoenix reclinata Vernonia auriculata, Zea mays, Digitaria velutina,","yes","private","yes","yes","yes","no","Plot cultivated beans, maize,vegetables, bananas","under5","under5","under5","under5","none","none","none","none","6","veg struc","50","50","50","50","1","0","0","0","1","1","0","0",,,,,,,,,"cropland",,"0","3","0","0","1","2"
"Kenya","2024-03-06","13:09:00.000+03:00","2024","Chawia","10","7","-3.45396","38.334","1696.3","5","1709719854649.jpg","34","34","steep","high_gradient_escarpment","midslope","no","no","yes","woodlot","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","3","3","3","3","3","3","03to08","no","Eucalyptus saligna,Albizia gummifera, Pennisetum purpureaum, Panicum trichocladum, Phyllanthus odontadenius,Conyza bonarensis, Cyathula polycephara,Phoenix reticulata, Plecthranthus ignarius ,Rapanea melanoploes,Tephrosia vogelii,Commelina africana, Triumfetta rhomboidea, Conyza pyropparpa, Aeschynomene spp,Pentas parvifolia,","yes","government","no","no","no","yes","Conservation area since early 1950s","under5","under5","under5","under5","rill","rill","rill","rill","0","veg","50","50","50","50","6","0","0","2","3","3","0","0",,,,,,,,,"woodland",,"0","3","0","3","1","3"
"Kenya","2024-03-07","10:51:00.000+03:00","2024","Chawia","11","1","-3.44061","38.3316","1648.7","4","1709797893204.jpg","20","18","steep","high_gradient_hill","ridge_crest","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","1","1","5","5","5","5","03to30","yes","Lantana camara, Pteridium aquilinum , Cyperus spp,Panicum trichocladum Rubus pinata,Buddeleia abyssinica, Dodonaea viscosa, Phoenix reclinata, Vernonia lasiopus, Triumfetta rhomboidea Pennisetum purpureaum, Tabanaemontana stapfiana, Conyza bonarensis, Cassia mimosoides , Albizia gummifera, Ageratum conyzoides,","yes","private","yes","yes","no","no","Plot cultivated for over 70 years, maize,beans,Irish potatoes,bananas.","under5","under5","under5","under5","none","none","none","none","3","veg struc","35","50","50","50","0","0","0","0","0","0","0","0",,,,,,,,,"cropland",,"0","2","0","0","0","2"
"Kenya","2024-03-07","12:25:00.000+03:00","2024","Chawia","11","10","-3.43307","38.3338","1589.9","5","1709803621211.jpg","4","4","sloping","low_gradient_hill","footslope","no","no","yes","woodlot","yes","yes","yes","yes","no","yes","no","yes","yes","3","3","3","3","5","5","5","5","03to08","yes","Desmodium intortum, Taraxacum officinalis, Lantana camara, pteris viridis,Asystacia laticapsula,Dichondra repens, Sporobolus pyramidalis, Phyllanthus ododentius,Neonotania wightii,Sporobolus filipes,Panicum trichocladum, Acalypha volkensii, Pteridium aquilinum , Maesa lanceolata, Conyza bonarensis, Lolium temullatum,Oxalis cornculata,Tithonia diversifolia, Ocimum gratissimum, Triumfetta rhomboidea, Bidens pilosa, Achyranthes schinzii, Prunus africana, Vernonia lasiopus,","yes","government","no","no","no","yes","Government land for hospital facilities.","under5","under5","under5","under5","none","none","none","none","0","none","50","50","50","50","0","0","0","0","3","0","0","0",,,,,,,,,"woodland",,"0","0","0","0","0","2"
"Kenya","2024-03-07","14:36:00.000+03:00","2024","Chawia","11","12","-3.44014","38.341","1596.2","3","1709811439833.jpg","3","3","sloping","low_gradient_hill","upland","no","no","yes","perennial_crop","yes","yes","yes","yes","yes","yes","yes","yes","yes","0","2","2","1","3","5","3","4","03to08","no","Casuarina equesetifolia, Grevillea robusta, Persea americanum, oxalis latifolia, Asystacia laticapsula Ageratum conyzoides, Triumfetta rhomboidea, Musa sapiendum ,Dichondra repens, Melinis repens, Maesa lanceolata, Conyza bonarensis, Pteris viridis, Vernonia lasiopus, Macadamia integrifolia,","yes","private","yes","yes","yes","no","Land cultivated for over 80 years, maize,beans,Irish potatoes, bananas.","under5","under5","under5","under5","none","none","none","none","2","veg struc","50","50","50","50","0","0","0","0","0","2","0","0",,,,,,,,,"shrubland",,"0","3","0","0","0","3"
"Kenya","2024-03-07","13:06:00.000+03:00","2024","Chawia","11","2","-3.43431","38.336","1629.1","4","1709806022100.jpg","22","24","steep","high_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","no","yes","no","yes","yes","2","1","4","2","5","5","3","5","03to08","yes","Desmodium intortum, Pennisetum purpureaum, Pteridium aquilinum , Vernonia lasiopus, Conyza bonarensis Cyathula polycephara,Torris spp,Rumex acetosela, Persea americanum, Acacia mearnsii Melinis repens, Commelina benghalensis, Ageratum conyzoides, Ocimum gratissimum, Caylusea abyssinica, Mariscus assimilis,Vernonia auriculata, Acalypha volkensii, Ficus thonningii,Lantana camara, Clausena anisata,","yes","private","yes","yes","yes","no","Plot cultivated for over 60 years, maize,beans,Irish potatoes, bananas.","under5","under5","over40","5-40","none","none","none","none","5","veg struc","50","28","50","32","4","0","0","4","0","2","0","2",,,,,,,,,"cropland",,"0","3","0","0","1","3"
"Kenya","2024-03-07","14:01:00.000+03:00","2024","Chawia","11","3","-3.43856","38.3395","1566.8","4","1709809362204.jpg","7","14","sloping","low_gradient_hill","footslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","yes","yes","no","yes","yes","1","0","1","3","5","5","3","3","03to30","yes","Grevillea robusta, Pennisetum purpureaum, Triumfetta rhomboidea, Tabanaemontana stapfiana, Tagetes minuta, Bidens pilosa, Erlangea cordifolia, Vernonia galamensis, Macadamia integrifolia, Manihot utilissima, Triumfetta rhomboidea, Catha edulis, Ageratum conyzoides, Musa sapiendum,Brassica oleracea, Pteris viridis,Conyza bonarensis, Zea mays, Acacia mearnsii, Eleusine indica, Digitaria velutina, Richardia brasiliensis, Phyllanthus rotundifolia, Bidens pilosa, Dichondra repens, Solanum nigrum,Amaranthus caudatus,Euphorbia crotonoides, Ananus comosus,Oxygonum sinuatum","yes","private","yes","yes","yes","no","Plot cultivated for over 80 years beans, maize,Irish potatoes, cassava, bananas.","under5","under5","under5","under5","none","none","none","none","5","veg struc","50","50","50","50","1","0","0","1","2","0","1","4",,,,,,,,,"cropland",,"0","3","0","0","1","3"
"Kenya","2024-03-07","11:42:00.000+03:00","2024","Chawia","11","4","-3.43634","38.3348","1589.1","3","1709801100975.jpg","20","18","sloping","medium_gradient_hill","midslope","no","no","yes","fallow","yes","yes","yes","yes","no","yes","no","yes","yes","2","0","4","1","5","1","5","5","03to08","yes","Grevillea robusta, Syzygium cumini,Cassia mimosoides, Vernonia lasiopus, Triumfetta rhomboidea, Dodonaea viscosa, Desmodium intortum, Asystacia laticapsula,Psidium guajava, Sonchus schweinfurthii, Erlangea cordifolia, Digitaria velutina, Conyza bonarensis, Rubus pinata, Cyphostemma adenocaule,Melinis repens,Ocimum gratissimum, Dichondra repens, Pennisetum purpureaum, Torris spp,Helichrysum odorensis,Lactuca capense, Persea americanum, Maesa lanceolata,","yes","private","no","yes","no","no","Plot cultivated for over 80 years, maize,beans,Irish potatoes, bananas.","under5","under5","under5","under5","none","none","none","none","2","veg struc","50","50","50","50","3","0","0","0","2","0","4","0",,,,,,,,,"cropland",,"0","2","0","0","1","2"
"Kenya","2024-03-07","09:18:00.000+03:00","2024","Chawia","11","5","-3.43791","38.3369","1603.7","2","1709792378477.jpg","17","15","sloping","medium_gradient_hill","midslope","no","no","yes","annual_agroforestry","yes","yes","yes","yes","yes","yes","no","yes","yes","2","1","2","0","5","5","5","5","03to08","yes","Lantana camara, Persea americanum, Panicum maximum, Pennisetum purpureaum, Conyza bonarensis, Tagetes minuta, Erlangea cordifolia, Desmodium intortum, Panicum trichocladum, Emilia sonchifolia,Triumfetta rhomboidea, Macadamia integrifolia, Melinis repens, Setaria plicatilis,Digitaria velutina, Ageratum conyzoides Torrida spp,","yes","private","yes","yes","yes","no","Plot cultivated for over 35years beans, maize, cocoa yams,bananas","under5","under5","under5","under5","none","none","none","none","4","veg struc","50","50","50","50","0","0","0","0","0","0","0","0",,,,,,,,,"cropland",,"0","3","0","0","1","3"
